Assessment Name,URL,Duration,Remote Testing Support,Adaptive/IRT,Test Type,Skills,Description
Java Developer Assessment #1,https://shl.com/assessment/1,40,Yes,No,Coding,Java,The 'Java Developer Assessment #1' is a Coding test focused on Java. Duration is 40 mins. It supports remote testing: Yes and adaptive format: No.
Full Stack Developer Test #2,https://shl.com/assessment/2,50,Yes,Yes,Coding,JavaScript,Python
Data Analyst Screening #3,https://shl.com/assessment/3,45,No,No,Cognitive,SQL,Python
Python & SQL Challenge #4,https://shl.com/assessment/4,60,Yes,Yes,Coding,Python,SQL
Cognitive Aptitude Test #5,https://shl.com/assessment/5,30,Yes,No,Cognitive,Problem Solving,The 'Cognitive Aptitude Test #5' is a Cognitive test focused on Problem Solving. Duration is 30 mins. It supports remote testing: Yes and adaptive format: No.
Personality Insights Assessment #6,https://shl.com/assessment/6,35,Yes,No,Personality,Teamwork,Communication
Frontend Developer Skills Test #7,https://shl.com/assessment/7,45,No,Yes,Coding,JavaScript,Communication
Business Communication Evaluation #8,https://shl.com/assessment/8,25,Yes,Yes,Communication,Communication,Teamwork
Logical Reasoning Assessment #9,https://shl.com/assessment/9,20,Yes,No,Cognitive,Problem Solving,The 'Logical Reasoning Assessment #9' is a Cognitive test focused on Problem Solving. Duration is 20 mins. It supports remote testing: Yes and adaptive format: No.
Coding Challenge for Developers #10,https://shl.com/assessment/10,60,No,Yes,Coding,Python,Java
JavaScript Screening Test #11,https://shl.com/assessment/11,30,Yes,Yes,Coding,JavaScript,The 'JavaScript Screening Test #11' is a Coding test focused on JavaScript. Duration is 30 mins. It supports remote testing: Yes and adaptive format: Yes.
Problem Solving & Coding Challenge #12,https://shl.com/assessment/12,55,No,No,Coding,Java,Problem Solving
Technical Aptitude Test #13,https://shl.com/assessment/13,35,Yes,No,Aptitude,Logic,Problem Solving
Developer Collaboration Skills Test #14,https://shl.com/assessment/14,40,Yes,Yes,Communication,Teamwork,Communication
Personality Fit Analysis #15,https://shl.com/assessment/15,30,Yes,No,Personality,Personality,Teamwork
Business Analyst Aptitude #16,https://shl.com/assessment/16,45,No,Yes,Cognitive,SQL,Problem Solving
Python Backend Developer Assessment #17,https://shl.com/assessment/17,60,Yes,Yes,Coding,Python,Problem Solving
